time 	 RH 	 LH 
7691	 7691	 7691 
7701	 7701	 7701 
000.020	48.8060	51.1940	
000.082	47.5106	52.4894	
000.145	46.3210	53.6790	
000.201	45.5786	54.4214	
000.274	45.2657	54.7343	
000.327	45.2116	54.7884	
000.391	45.2552	54.7448	
000.449	45.0958	54.9042	
000.512	44.6707	55.3293	
000.573	43.7914	56.2086	
000.650	43.1782	56.8218	
000.713	42.5115	57.4885	
000.774	41.8517	58.1483	
000.826	41.2171	58.7829	
000.898	40.5702	59.4298	
000.961	39.7053	60.2947	
001.020	38.8151	61.1849	
001.082	38.1140	61.8860	
001.144	37.4623	62.5377	
001.207	36.7918	63.2082	
001.267	35.9098	64.0902	
001.328	34.9386	65.0614	
7703	 7703	 7703 
001.388	34.0240	65.9760	
001.451	34.0240	65.9760	
001.516	34.0240	65.9760	
001.576	34.0240	65.9760	
001.640	34.0240	65.9760	
001.704	34.0240	65.9760	
001.764	34.0240	65.9760	
001.823	34.0240	65.9760	
001.887	34.0240	65.9760	
001.951	34.0240	65.9760	
002.015	34.0240	65.9760	
002.076	34.0240	65.9760	
002.140	34.0240	65.9760	
002.204	34.0240	65.9760	
002.264	34.0240	65.9760	
002.324	34.0240	65.9760	
002.389	34.0240	65.9760	
002.452	34.0240	65.9760	
002.516	34.0240	65.9760	
002.575	34.0240	65.9760	
002.639	34.0240	65.9760	
002.703	34.0240	65.9760	
002.763	34.0240	65.9760	
002.826	34.0240	65.9760	
002.888	34.0240	65.9760	
002.951	34.0240	65.9760	
003.015	34.0240	65.9760	
003.077	34.0240	65.9760	
003.140	34.0240	65.9760	
003.204	34.0240	65.9760	
003.264	34.0240	65.9760	
003.324	34.0240	65.9760	
003.395	34.0240	65.9760	
003.460	34.0240	65.9760	
003.523	34.0240	65.9760	
003.584	34.0240	65.9760	
003.646	34.0240	65.9760	
003.711	34.0240	65.9760	
003.771	34.0240	65.9760	
003.829	34.0240	65.9760	
003.897	34.0240	65.9760	
003.953	34.0240	65.9760	
004.022	34.0240	65.9760	
004.080	34.0240	65.9760	
004.145	34.0240	65.9760	
004.209	34.0240	65.9760	
004.271	34.0240	65.9760	
004.329	34.0240	65.9760	
004.394	34.0240	65.9760	
